num,sys
863,translator-A
864,translator-A
865,translator-A
866,translator-A
867,translator-A
915,translator-A
916,translator-A
917,translator-A
918,translator-A
919,translator-A
920,translator-A
921,translator-A
922,translator-A
923,translator-A
924,translator-A
926,translator-A
927,translator-A
929,translator-A
931,translator-A
932,translator-A
933,translator-A
934,translator-A
935,translator-A
936,translator-A
937,translator-A
938,translator-A
939,translator-A
940,translator-A
941,translator-A
942,translator-A
944,translator-A
945,translator-A
946,translator-A
947,translator-A
948,translator-A
949,translator-A
950,translator-A
951,translator-A
952,translator-A
953,translator-A
954,translator-A
955,translator-A
956,translator-A
957,translator-A
958,translator-A
959,translator-A
960,translator-A
961,translator-A
962,translator-A
963,translator-A
964,translator-A
965,translator-A
966,translator-A
969,translator-A
970,translator-A
972,translator-A
973,translator-A
975,translator-A
976,translator-A
977,translator-A
979,translator-A
989,translator-A
990,translator-A
991,translator-A
992,translator-A
993,translator-A
994,translator-A
995,translator-A
996,translator-A
997,translator-A
998,translator-A
999,translator-A
1000,translator-A
1001,translator-A
1002,translator-A
28,translator-B
29,translator-B
30,translator-B
31,translator-B
32,translator-B
33,translator-B
34,translator-B
35,translator-B
36,translator-B
37,translator-B
38,translator-B
39,translator-B
40,translator-B
41,translator-B
42,translator-B
43,translator-B
44,translator-B
45,translator-B
46,translator-B
47,translator-B
48,translator-B
49,translator-B
50,translator-B
51,translator-B
52,translator-B
53,translator-B
54,translator-B
55,translator-B
58,translator-B
62,translator-B
77,translator-B
79,translator-B
80,translator-B
81,translator-B
82,translator-B
83,translator-B
84,translator-B
85,translator-B
86,translator-B
87,translator-B
88,translator-B
89,translator-B
90,translator-B
91,translator-B
92,translator-B
93,translator-B
94,translator-B
95,translator-B
96,translator-B
97,translator-B
98,translator-B
99,translator-B
100,translator-B
101,translator-B
102,translator-B
103,translator-B
104,translator-B
105,translator-B
106,translator-B
107,translator-B
108,translator-B
109,translator-B
110,translator-B
111,translator-B
112,translator-B
113,translator-B
114,translator-B
115,translator-B
116,translator-B
117,translator-B
118,translator-B
119,translator-B
120,translator-B
121,translator-B
122,translator-B
123,translator-B
124,translator-B
125,translator-B
126,translator-B
127,translator-B
128,translator-B
129,translator-B
130,translator-B
131,translator-B
145,translator-B
146,translator-B
147,translator-B
148,translator-B
149,translator-B
150,translator-B
151,translator-B
152,translator-B
153,translator-B
154,translator-B
155,translator-B
156,translator-B
157,translator-B
158,translator-B
159,translator-B
160,translator-B
161,translator-B
162,translator-B
163,translator-B
164,translator-B
165,translator-B
166,translator-B
167,translator-B
168,translator-B
169,translator-B
175,translator-B
178,translator-B
179,translator-B
181,translator-B
182,translator-B
183,translator-B
184,translator-B
185,translator-B
186,translator-B
187,translator-B
188,translator-B
189,translator-B
190,translator-B
191,translator-B
192,translator-B
193,translator-B
194,translator-B
195,translator-B
196,translator-B
197,translator-B
198,translator-B
199,translator-B
200,translator-B
201,translator-B
202,translator-B
228,translator-B
229,translator-B
230,translator-B
231,translator-B
232,translator-B
233,translator-B
235,translator-B
236,translator-B
237,translator-B
238,translator-B
239,translator-B
240,translator-B
241,translator-B
242,translator-B
243,translator-B
244,translator-B
245,translator-B
246,translator-B
247,translator-B
248,translator-B
249,translator-B
250,translator-B
251,translator-B
252,translator-B
253,translator-B
282,translator-B
283,translator-B
284,translator-B
285,translator-B
286,translator-B
287,translator-B
289,translator-B
291,translator-B
292,translator-B
297,translator-B
303,translator-B
324,translator-B
334,translator-B
336,translator-B
337,translator-B
338,translator-B
341,translator-B
343,translator-B
344,translator-B
349,translator-B
350,translator-B
351,translator-B
352,translator-B
353,translator-B
354,translator-B
355,translator-B
356,translator-B
357,translator-B
358,translator-B
359,translator-B
360,translator-B
361,translator-B
362,translator-B
363,translator-B
364,translator-B
365,translator-B
366,translator-B
367,translator-B
368,translator-B
369,translator-B
370,translator-B
371,translator-B
372,translator-B
373,translator-B
374,translator-B
375,translator-B
376,translator-B
377,translator-B
378,translator-B
379,translator-B
380,translator-B
381,translator-B
382,translator-B
383,translator-B
384,translator-B
385,translator-B
386,translator-B
387,translator-B
388,translator-B
389,translator-B
390,translator-B
391,translator-B
392,translator-B
394,translator-B
395,translator-B
396,translator-B
397,translator-B
398,translator-B
399,translator-B
401,translator-B
402,translator-B
403,translator-B
404,translator-B
405,translator-B
406,translator-B
407,translator-B
408,translator-B
409,translator-B
410,translator-B
430,translator-B
431,translator-B
433,translator-B
434,translator-B
435,translator-B
436,translator-B
437,translator-B
439,translator-B
440,translator-B
441,translator-B
442,translator-B
444,translator-B
445,translator-B
446,translator-B
448,translator-B
449,translator-B
450,translator-B
453,translator-B
454,translator-B
469,translator-B
470,translator-B
471,translator-B
472,translator-B
474,translator-B
481,translator-B
483,translator-B
485,translator-B
486,translator-B
487,translator-B
488,translator-B
489,translator-B
490,translator-B
491,translator-B
493,translator-B
494,translator-B
496,translator-B
497,translator-B
499,translator-B
500,translator-B
501,translator-B
502,translator-B
503,translator-B
504,translator-B
505,translator-B
506,translator-B
507,translator-B
508,translator-B
510,translator-B
511,translator-B
513,translator-B
514,translator-B
515,translator-B
516,translator-B
517,translator-B
565,translator-B
566,translator-B
567,translator-B
568,translator-B
569,translator-B
570,translator-B
571,translator-B
572,translator-B
573,translator-B
574,translator-B
575,translator-B
576,translator-B
577,translator-B
578,translator-B
579,translator-B
603,translator-B
604,translator-B
605,translator-B
606,translator-B
607,translator-B
608,translator-B
609,translator-B
610,translator-B
611,translator-B
612,translator-B
613,translator-B
614,translator-B
615,translator-B
616,translator-B
617,translator-B
618,translator-B
619,translator-B
620,translator-B
621,translator-B
642,translator-B
643,translator-B
644,translator-B
645,translator-B
646,translator-B
647,translator-B
648,translator-B
649,translator-B
650,translator-B
651,translator-B
652,translator-B
653,translator-B
654,translator-B
655,translator-B
665,translator-B
666,translator-B
668,translator-B
669,translator-B
670,translator-B
671,translator-B
672,translator-B
673,translator-B
674,translator-B
675,translator-B
676,translator-B
677,translator-B
678,translator-B
684,translator-B
713,translator-B
714,translator-B
715,translator-B
716,translator-B
717,translator-B
718,translator-B
719,translator-B
720,translator-B
721,translator-B
735,translator-B
736,translator-B
737,translator-B
738,translator-B
739,translator-B
740,translator-B
741,translator-B
754,translator-B
755,translator-B
756,translator-B
757,translator-B
758,translator-B
759,translator-B
760,translator-B
761,translator-B
762,translator-B
763,translator-B
764,translator-B
765,translator-B
766,translator-B
767,translator-B
768,translator-B
769,translator-B
770,translator-B
771,translator-B
772,translator-B
773,translator-B
774,translator-B
775,translator-B
776,translator-B
777,translator-B
792,translator-B
793,translator-B
797,translator-B
798,translator-B
799,translator-B
802,translator-B
804,translator-B
805,translator-B
807,translator-B
809,translator-B
810,translator-B
811,translator-B
812,translator-B
813,translator-B
814,translator-B
815,translator-B
816,translator-B
817,translator-B
818,translator-B
819,translator-B
820,translator-B
821,translator-B
822,translator-B
823,translator-B
824,translator-B
825,translator-B
826,translator-B
827,translator-B
842,translator-B
844,translator-B
845,translator-B
846,translator-B
847,translator-B
848,translator-B
849,translator-B
850,translator-B
851,translator-B
852,translator-B
853,translator-B
854,translator-B
855,translator-B
856,translator-B
868,translator-B
869,translator-B
870,translator-B
