num,sys
7,HuaweiTSC
8,HuaweiTSC
9,HuaweiTSC
10,HuaweiTSC
11,HuaweiTSC
12,HuaweiTSC
14,HuaweiTSC
15,HuaweiTSC
16,HuaweiTSC
17,HuaweiTSC
19,HuaweiTSC
25,HuaweiTSC
27,HuaweiTSC
37,HuaweiTSC
39,HuaweiTSC
41,HuaweiTSC
42,HuaweiTSC
48,HuaweiTSC
50,HuaweiTSC
52,HuaweiTSC
54,HuaweiTSC
57,HuaweiTSC
70,HuaweiTSC
71,HuaweiTSC
73,HuaweiTSC
74,HuaweiTSC
75,HuaweiTSC
76,HuaweiTSC
79,HuaweiTSC
80,HuaweiTSC
82,HuaweiTSC
83,HuaweiTSC
84,HuaweiTSC
85,HuaweiTSC
86,HuaweiTSC
87,HuaweiTSC
88,HuaweiTSC
89,HuaweiTSC
90,HuaweiTSC
91,HuaweiTSC
97,HuaweiTSC
98,HuaweiTSC
99,HuaweiTSC
100,HuaweiTSC
109,HuaweiTSC
110,HuaweiTSC
111,HuaweiTSC
113,HuaweiTSC
115,HuaweiTSC
121,HuaweiTSC
122,HuaweiTSC
124,HuaweiTSC
126,HuaweiTSC
128,HuaweiTSC
129,HuaweiTSC
130,HuaweiTSC
131,HuaweiTSC
132,HuaweiTSC
133,HuaweiTSC
138,HuaweiTSC
139,HuaweiTSC
140,HuaweiTSC
141,HuaweiTSC
151,HuaweiTSC
152,HuaweiTSC
153,HuaweiTSC
154,HuaweiTSC
155,HuaweiTSC
156,HuaweiTSC
157,HuaweiTSC
158,HuaweiTSC
159,HuaweiTSC
160,HuaweiTSC
161,HuaweiTSC
166,HuaweiTSC
174,HuaweiTSC
176,HuaweiTSC
177,HuaweiTSC
178,HuaweiTSC
180,HuaweiTSC
181,HuaweiTSC
188,HuaweiTSC
189,HuaweiTSC
191,HuaweiTSC
193,HuaweiTSC
194,HuaweiTSC
195,HuaweiTSC
196,HuaweiTSC
197,HuaweiTSC
198,HuaweiTSC
206,HuaweiTSC
212,HuaweiTSC
213,HuaweiTSC
214,HuaweiTSC
216,HuaweiTSC
217,HuaweiTSC
218,HuaweiTSC
219,HuaweiTSC
220,HuaweiTSC
221,HuaweiTSC
222,HuaweiTSC
223,HuaweiTSC
224,HuaweiTSC
225,HuaweiTSC
226,HuaweiTSC
244,HuaweiTSC
245,HuaweiTSC
246,HuaweiTSC
247,HuaweiTSC
248,HuaweiTSC
249,HuaweiTSC
250,HuaweiTSC
251,HuaweiTSC
252,HuaweiTSC
253,HuaweiTSC
254,HuaweiTSC
258,HuaweiTSC
259,HuaweiTSC
267,HuaweiTSC
268,HuaweiTSC
271,HuaweiTSC
272,HuaweiTSC
275,HuaweiTSC
276,HuaweiTSC
286,HuaweiTSC
287,HuaweiTSC
290,HuaweiTSC
312,HuaweiTSC
313,HuaweiTSC
314,HuaweiTSC
315,HuaweiTSC
316,HuaweiTSC
317,HuaweiTSC
318,HuaweiTSC
319,HuaweiTSC
320,HuaweiTSC
321,HuaweiTSC
322,HuaweiTSC
330,HuaweiTSC
331,HuaweiTSC
332,HuaweiTSC
333,HuaweiTSC
334,HuaweiTSC
356,HuaweiTSC
361,HuaweiTSC
363,HuaweiTSC
364,HuaweiTSC
365,HuaweiTSC
366,HuaweiTSC
367,HuaweiTSC
368,HuaweiTSC
369,HuaweiTSC
370,HuaweiTSC
393,HuaweiTSC
439,HuaweiTSC
440,HuaweiTSC
441,HuaweiTSC
442,HuaweiTSC
443,HuaweiTSC
444,HuaweiTSC
445,HuaweiTSC
446,HuaweiTSC
447,HuaweiTSC
448,HuaweiTSC
449,HuaweiTSC
450,HuaweiTSC
451,HuaweiTSC
452,HuaweiTSC
488,HuaweiTSC
489,HuaweiTSC
490,HuaweiTSC
491,HuaweiTSC
493,HuaweiTSC
495,HuaweiTSC
496,HuaweiTSC
497,HuaweiTSC
507,HuaweiTSC
509,HuaweiTSC
510,HuaweiTSC
511,HuaweiTSC
513,HuaweiTSC
514,HuaweiTSC
515,HuaweiTSC
521,HuaweiTSC
522,HuaweiTSC
523,HuaweiTSC
524,HuaweiTSC
525,HuaweiTSC
528,HuaweiTSC
529,HuaweiTSC
531,HuaweiTSC
533,HuaweiTSC
542,HuaweiTSC
553,HuaweiTSC
555,HuaweiTSC
556,HuaweiTSC
557,HuaweiTSC
559,HuaweiTSC
560,HuaweiTSC
561,HuaweiTSC
567,HuaweiTSC
572,HuaweiTSC
578,HuaweiTSC
579,HuaweiTSC
583,HuaweiTSC
584,HuaweiTSC
585,HuaweiTSC
590,HuaweiTSC
592,HuaweiTSC
595,HuaweiTSC
596,HuaweiTSC
599,HuaweiTSC
607,HuaweiTSC
608,HuaweiTSC
609,HuaweiTSC
610,HuaweiTSC
611,HuaweiTSC
612,HuaweiTSC
613,HuaweiTSC
614,HuaweiTSC
616,HuaweiTSC
622,HuaweiTSC
625,HuaweiTSC
626,HuaweiTSC
627,HuaweiTSC
628,HuaweiTSC
629,HuaweiTSC
630,HuaweiTSC
631,HuaweiTSC
632,HuaweiTSC
633,HuaweiTSC
634,HuaweiTSC
635,HuaweiTSC
637,HuaweiTSC
638,HuaweiTSC
640,HuaweiTSC
657,HuaweiTSC
676,HuaweiTSC
678,HuaweiTSC
680,HuaweiTSC
681,HuaweiTSC
682,HuaweiTSC
683,HuaweiTSC
707,HuaweiTSC
708,HuaweiTSC
709,HuaweiTSC
710,HuaweiTSC
711,HuaweiTSC
712,HuaweiTSC
713,HuaweiTSC
714,HuaweiTSC
715,HuaweiTSC
716,HuaweiTSC
717,HuaweiTSC
718,HuaweiTSC
719,HuaweiTSC
730,HuaweiTSC
732,HuaweiTSC
733,HuaweiTSC
734,HuaweiTSC
735,HuaweiTSC
736,HuaweiTSC
737,HuaweiTSC
739,HuaweiTSC
740,HuaweiTSC
753,HuaweiTSC
758,HuaweiTSC
759,HuaweiTSC
760,HuaweiTSC
762,HuaweiTSC
764,HuaweiTSC
765,HuaweiTSC
766,HuaweiTSC
767,HuaweiTSC
