num,sys
7,translator-A
8,translator-A
9,translator-A
10,translator-A
11,translator-A
12,translator-A
13,translator-A
14,translator-A
15,translator-A
16,translator-A
17,translator-A
18,translator-A
19,translator-A
25,translator-A
36,translator-A
37,translator-A
38,translator-A
39,translator-A
40,translator-A
41,translator-A
42,translator-A
47,translator-A
48,translator-A
49,translator-A
50,translator-A
51,translator-A
52,translator-A
53,translator-A
54,translator-A
55,translator-A
56,translator-A
57,translator-A
69,translator-A
70,translator-A
71,translator-A
72,translator-A
73,translator-A
74,translator-A
75,translator-A
76,translator-A
77,translator-A
78,translator-A
79,translator-A
80,translator-A
81,translator-A
82,translator-A
83,translator-A
84,translator-A
85,translator-A
86,translator-A
87,translator-A
88,translator-A
89,translator-A
90,translator-A
91,translator-A
92,translator-A
93,translator-A
94,translator-A
95,translator-A
96,translator-A
97,translator-A
98,translator-A
100,translator-A
107,translator-A
108,translator-A
109,translator-A
110,translator-A
111,translator-A
112,translator-A
113,translator-A
114,translator-A
115,translator-A
116,translator-A
117,translator-A
122,translator-A
123,translator-A
124,translator-A
129,translator-A
130,translator-A
131,translator-A
132,translator-A
133,translator-A
134,translator-A
136,translator-A
138,translator-A
139,translator-A
140,translator-A
141,translator-A
151,translator-A
166,translator-A
167,translator-A
171,translator-A
172,translator-A
175,translator-A
177,translator-A
178,translator-A
179,translator-A
180,translator-A
181,translator-A
188,translator-A
189,translator-A
190,translator-A
191,translator-A
192,translator-A
193,translator-A
194,translator-A
195,translator-A
196,translator-A
197,translator-A
198,translator-A
202,translator-A
203,translator-A
204,translator-A
205,translator-A
206,translator-A
212,translator-A
213,translator-A
214,translator-A
215,translator-A
216,translator-A
217,translator-A
218,translator-A
219,translator-A
220,translator-A
221,translator-A
222,translator-A
223,translator-A
224,translator-A
225,translator-A
226,translator-A
244,translator-A
245,translator-A
246,translator-A
247,translator-A
248,translator-A
249,translator-A
250,translator-A
251,translator-A
252,translator-A
253,translator-A
254,translator-A
256,translator-A
257,translator-A
259,translator-A
260,translator-A
261,translator-A
267,translator-A
268,translator-A
269,translator-A
270,translator-A
271,translator-A
272,translator-A
273,translator-A
274,translator-A
275,translator-A
276,translator-A
277,translator-A
285,translator-A
286,translator-A
287,translator-A
288,translator-A
289,translator-A
290,translator-A
291,translator-A
312,translator-A
313,translator-A
314,translator-A
315,translator-A
316,translator-A
317,translator-A
318,translator-A
330,translator-A
331,translator-A
332,translator-A
334,translator-A
353,translator-A
354,translator-A
355,translator-A
356,translator-A
362,translator-A
363,translator-A
364,translator-A
365,translator-A
366,translator-A
367,translator-A
368,translator-A
369,translator-A
370,translator-A
372,translator-A
393,translator-A
394,translator-A
395,translator-A
396,translator-A
440,translator-A
441,translator-A
442,translator-A
443,translator-A
444,translator-A
445,translator-A
446,translator-A
447,translator-A
448,translator-A
449,translator-A
450,translator-A
451,translator-A
452,translator-A
473,translator-A
483,translator-A
487,translator-A
488,translator-A
489,translator-A
490,translator-A
491,translator-A
492,translator-A
493,translator-A
494,translator-A
495,translator-A
496,translator-A
497,translator-A
506,translator-A
507,translator-A
508,translator-A
509,translator-A
510,translator-A
511,translator-A
512,translator-A
513,translator-A
514,translator-A
515,translator-A
516,translator-A
521,translator-A
522,translator-A
523,translator-A
524,translator-A
525,translator-A
526,translator-A
527,translator-A
528,translator-A
529,translator-A
530,translator-A
531,translator-A
533,translator-A
535,translator-A
536,translator-A
537,translator-A
538,translator-A
539,translator-A
541,translator-A
542,translator-A
543,translator-A
553,translator-A
554,translator-A
555,translator-A
556,translator-A
557,translator-A
559,translator-A
560,translator-A
561,translator-A
562,translator-A
569,translator-A
570,translator-A
571,translator-A
572,translator-A
573,translator-A
574,translator-A
575,translator-A
576,translator-A
577,translator-A
578,translator-A
579,translator-A
580,translator-A
581,translator-A
582,translator-A
583,translator-A
584,translator-A
585,translator-A
589,translator-A
590,translator-A
591,translator-A
592,translator-A
593,translator-A
594,translator-A
595,translator-A
596,translator-A
597,translator-A
598,translator-A
599,translator-A
601,translator-A
607,translator-A
608,translator-A
609,translator-A
610,translator-A
611,translator-A
612,translator-A
613,translator-A
614,translator-A
615,translator-A
616,translator-A
622,translator-A
624,translator-A
625,translator-A
627,translator-A
628,translator-A
629,translator-A
630,translator-A
631,translator-A
632,translator-A
633,translator-A
634,translator-A
635,translator-A
637,translator-A
